?SNDlib native format; type: network; version: 1.0
# network atlanta

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  N1 ( 283.00 248.00 )
  N2 ( 451.00 201.00 )
  N3 ( 516.00 230.00 )
  N4 ( 324.00 43.00 )
  N5 ( 459.00 31.00 )
  N6 ( 459.00 31.00 )
  N7 ( 459.00 31.00 )
  N8 ( 459.00 31.00 )
  N9 ( 459.00 31.00 )
  N10 ( 459.00 31.00 )
  N11 ( 459.00 31.00 )
  N12 ( 459.00 31.00 )
  N13 ( 459.00 31.00 )
  N14 ( 459.00 31.00 )
  N15 ( 459.00 31.00 )
  N16 ( 459.00 31.00 )
  N17 ( 459.00 31.00 )
  N18 ( 459.00 31.00 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
  L1 ( N1 N13 ) 11000.00 0.00 67.80 0.00 ( 1000.00 950000.00 4000.00 1090000.00 )
  L2 ( N2 N13 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L3 ( N3 N13 ) 4000.00 0.00 67.80 0.00 ( 1000.00 1010000.00 4000.00 1150000.00 )
  L4 ( N4 N14 ) 8000.00 0.00 67.80 0.00 ( 1000.00 980000.00 4000.00 1120000.00 )
  L5 ( N5 N14 ) 15000.00 0.00 67.80 0.00 ( 1000.00 575000.00 4000.00 715000.00 )
  L6 ( N6 N14 ) 0.00 0.00 67.80 0.00 ( 1000.00 2060000.00 4000.00 2200000.00 )
  L7 ( N7 N15 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L8 ( N8 N15 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L9 ( N9 N15 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L10 ( N10 N16 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L11 ( N11 N16 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L12 ( N12 N16 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L13 ( N13 N17 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L14 ( N13 N18 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L15 ( N14 N17 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L16 ( N14 N18 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L17 ( N15 N17 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L18 ( N15 N18 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L19 ( N16 N17 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L20 ( N16 N18 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L21 ( N17 N18 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L22 ( N1 N2 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L23 ( N1 N3 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L24 ( N2 N3 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L25 ( N4 N5 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L26 ( N4 N6 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L27 ( N5 N6 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L28 ( N7 N8 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L29 ( N7 N9 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L30 ( N8 N9 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L31 ( N10 N11 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L32 ( N10 N12 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L33 ( N11 N12 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  D1 ( N1 N2 ) 1 40000.00 UNLIMITED
  D2 ( N1 N3 ) 1 100000.00 UNLIMITED
  D3 ( N1 N4 ) 1 10000.00 UNLIMITED
  D4 ( N1 N5 ) 1 10000.00 UNLIMITED
  D5 ( N1 N6 ) 1 10000.00 UNLIMITED
  D6 ( N1 N7 ) 1 10000.00 UNLIMITED
  D7 ( N1 N8 ) 1 10000.00 UNLIMITED
  D8 ( N1 N9 ) 1 10000.00 UNLIMITED
  D9 ( N1 N10 ) 1 10000.00 UNLIMITED
  D10 ( N1 N11 ) 1 10000.00 UNLIMITED
  D11 ( N1 N12 ) 1 10000.00 UNLIMITED
  D12 ( N2 N1 ) 1 40000.00 UNLIMITED
  D13 ( N2 N3 ) 1 100000.00 UNLIMITED
  D14 ( N2 N4 ) 1 10000.00 UNLIMITED
  D15 ( N2 N5 ) 1 10000.00 UNLIMITED
  D16 ( N2 N6 ) 1 10000.00 UNLIMITED
  D17 ( N2 N7 ) 1 10000.00 UNLIMITED
  D18 ( N2 N8 ) 1 10000.00 UNLIMITED
  D19 ( N2 N9 ) 1 10000.00 UNLIMITED
  D20 ( N2 N10 ) 1 10000.00 UNLIMITED
  D21 ( N2 N11 ) 1 10000.00 UNLIMITED
  D22 ( N2 N12 ) 1 10000.00 UNLIMITED
  D23 ( N3 N1 ) 1 40000.00 UNLIMITED
  D24 ( N3 N2 ) 1 100000.00 UNLIMITED
  D25 ( N3 N4 ) 1 10000.00 UNLIMITED
  D26 ( N3 N5 ) 1 10000.00 UNLIMITED
  D27 ( N3 N6 ) 1 10000.00 UNLIMITED
  D28 ( N3 N7 ) 1 10000.00 UNLIMITED
  D29 ( N3 N8 ) 1 10000.00 UNLIMITED
  D30 ( N3 N9 ) 1 10000.00 UNLIMITED
  D31 ( N3 N10 ) 1 10000.00 UNLIMITED
  D32 ( N3 N11 ) 1 10000.00 UNLIMITED
  D33 ( N3 N12 ) 1 10000.00 UNLIMITED
  D34 ( N4 N1 ) 1 40000.00 UNLIMITED
  D35 ( N4 N2 ) 1 100000.00 UNLIMITED
  D36 ( N4 N3 ) 1 10000.00 UNLIMITED
  D37 ( N4 N5 ) 1 10000.00 UNLIMITED
  D38 ( N4 N6 ) 1 10000.00 UNLIMITED
  D39 ( N4 N7 ) 1 10000.00 UNLIMITED
  D40 ( N4 N8 ) 1 10000.00 UNLIMITED
  D41 ( N4 N9 ) 1 10000.00 UNLIMITED
  D42 ( N4 N10 ) 1 10000.00 UNLIMITED
  D43 ( N4 N11 ) 1 10000.00 UNLIMITED
  D44 ( N4 N12 ) 1 10000.00 UNLIMITED
  D45 ( N5 N1 ) 1 10000.00 UNLIMITED
  D46 ( N5 N2 ) 1 10000.00 UNLIMITED
  D47 ( N5 N3 ) 1 10000.00 UNLIMITED
  D48 ( N5 N4 ) 1 10000.00 UNLIMITED
  D49 ( N5 N6 ) 1 10000.00 UNLIMITED
  D50 ( N5 N7 ) 1 10000.00 UNLIMITED
  D51 ( N5 N8 ) 1 10000.00 UNLIMITED
  D52 ( N5 N9 ) 1 10000.00 UNLIMITED
  D53 ( N5 N10 ) 1 10000.00 UNLIMITED
  D54 ( N5 N11 ) 1 10000.00 UNLIMITED
  D55 ( N5 N12 ) 1 10000.00 UNLIMITED
  D56 ( N6 N1 ) 1 10000.00 UNLIMITED
  D57 ( N6 N2 ) 1 10000.00 UNLIMITED
  D58 ( N6 N3 ) 1 10000.00 UNLIMITED
  D59 ( N6 N4 ) 1 10000.00 UNLIMITED
  D60 ( N6 N5 ) 1 10000.00 UNLIMITED
  D61 ( N6 N7 ) 1 10000.00 UNLIMITED
  D62 ( N6 N8 ) 1 10000.00 UNLIMITED
  D63 ( N6 N9 ) 1 10000.00 UNLIMITED
  D64 ( N6 N10 ) 1 10000.00 UNLIMITED
  D65 ( N6 N11 ) 1 10000.00 UNLIMITED
  D66 ( N6 N12 ) 1 10000.00 UNLIMITED
  D67 ( N7 N1 ) 1 10000.00 UNLIMITED
  D68 ( N7 N2 ) 1 10000.00 UNLIMITED
  D69 ( N7 N3 ) 1 10000.00 UNLIMITED
  D70 ( N7 N4 ) 1 10000.00 UNLIMITED
  D71 ( N7 N5 ) 1 10000.00 UNLIMITED
  D72 ( N7 N6 ) 1 10000.00 UNLIMITED
  D73 ( N7 N8 ) 1 10000.00 UNLIMITED
  D74 ( N7 N9 ) 1 10000.00 UNLIMITED
  D75 ( N7 N10 ) 1 10000.00 UNLIMITED
  D76 ( N7 N11 ) 1 10000.00 UNLIMITED
  D77 ( N7 N12 ) 1 10000.00 UNLIMITED
  D78 ( N8 N1 ) 1 10000.00 UNLIMITED
  D79 ( N8 N2 ) 1 10000.00 UNLIMITED
  D80 ( N8 N3 ) 1 10000.00 UNLIMITED
  D81 ( N8 N4 ) 1 10000.00 UNLIMITED
  D82 ( N8 N5 ) 1 10000.00 UNLIMITED
  D83 ( N8 N6 ) 1 10000.00 UNLIMITED
  D84 ( N8 N7 ) 1 10000.00 UNLIMITED
  D85 ( N8 N9 ) 1 10000.00 UNLIMITED
  D86 ( N8 N10 ) 1 10000.00 UNLIMITED
  D87 ( N8 N11 ) 1 10000.00 UNLIMITED
  D88 ( N8 N12 ) 1 10000.00 UNLIMITED
  D89 ( N9 N1 ) 1 10000.00 UNLIMITED
  D90 ( N9 N2 ) 1 10000.00 UNLIMITED
  D91 ( N9 N3 ) 1 10000.00 UNLIMITED
  D92 ( N9 N4 ) 1 10000.00 UNLIMITED
  D93 ( N9 N5 ) 1 10000.00 UNLIMITED
  D94 ( N9 N6 ) 1 10000.00 UNLIMITED
  D95 ( N9 N7 ) 1 10000.00 UNLIMITED
  D96 ( N9 N8 ) 1 10000.00 UNLIMITED
  D97 ( N9 N10 ) 1 10000.00 UNLIMITED
  D98 ( N9 N11 ) 1 10000.00 UNLIMITED
  D99 ( N9 N12 ) 1 10000.00 UNLIMITED
